,postal_code,Total population,Sex ratio (males per 100 females),Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Total housing units
1368,11421,41251,100.3,37.8,17077,1756,271,8187,0,11037,2923,12477
1372,11422,32761,82.9,40,2096,27544,345,730,0,1280,766,10575
1376,11423,30104,95.2,40.9,3917,11708,111,8641,0,4398,1329,10396
1380,11424,0,0,0,0,0,0,0,0,0,0,0
1384,11425,0,0,0,0,0,0,0,0,0,0,0
1388,11426,20524,97.7,38.5,7599,1237,86,8988,0,1784,830,6544
1392,11427,24560,99.7,41.8,6581,5113,294,8277,0,3112,1183,8112
1396,11428,18836,96.9,41.7,3951,4032,78,4926,43,3706,2100,6054
1400,11429,27454,87.3,39.6,1079,20058,229,1242,33,3992,821,7662
1404,11430,206,0,47.9,34,139,0,6,0,27,0,0
1408,11432,64299,87.9,36.1,12002,10384,418,27346,133,10966,3050,20071
1412,11433,37021,84.1,35.1,1588,23854,17,3580,12,7126,844,11506
1416,11434,64304,82.1,38.7,2321,55241,32,2000,0,3126,1584,22875
1420,11435,59605,99.7,35.7,10640,14557,411,13922,6,17749,2320,19818
1424,11436,19167,98.2,37.9,989,12051,46,1739,0,3257,1085,5875
1428,11451,0,0,0,0,0,0,0,0,0,0,0
1432,11501,19621,97.8,42,14168,489,10,2367,0,2142,445,7999
1436,11507,7225,102.6,47.6,4382,132,74,2428,0,52,157,2551
1440,11509,1920,101.3,55.1,1812,29,13,21,0,18,27,1265
1444,11510,33299,95.3,42.5,17254,11304,39,1383,37,1560,1722,11222
1448,11514,4694,95,41.6,3378,149,0,453,0,573,141,1765
1452,11516,7372,87.8,30.8,6849,105,0,134,0,256,28,2468
1456,11518,9969,98.1,42.3,8615,402,12,572,0,200,168,4429
1460,11520,43438,88.3,38.7,18842,12993,72,588,3,5226,5714,14907
1464,11530,28460,93.6,42.4,25257,547,0,1475,0,682,499,9897
1468,11542,27893,92.3,40.5,18983,2275,285,1430,0,4162,758,10689
1472,11545,12604,108.1,46.3,10523,252,0,1054,0,646,129,4640
1480,11548,2922,85.4,24,1702,211,0,767,0,161,81,571
1484,11549,2803,69.8,20,1817,390,0,275,0,69,252,0
1488,11550,57639,89.2,34,9443,25782,273,951,0,18420,2770,18131
1492,11552,24908,102.9,38.8,14825,5713,24,1523,74,1988,761,7444
1496,11553,26054,93.3,35,9070,10883,455,441,0,3105,2100,6764
1500,11554,38029,94.4,41.3,25944,2428,150,4990,0,3503,1014,12846
1504,11556,0,0,0,0,0,0,0,0,0,0,0
1508,11557,7878,83.1,47.3,5943,601,0,659,0,636,39,2979
1512,11558,8465,132.7,42.1,7181,160,3,219,0,684,218,3031
1516,11559,8192,75.2,35.3,7080,103,50,201,0,758,0,2890
1520,11560,6669,86,45.7,6119,132,0,150,0,189,79,2588
1524,11561,37726,91.7,45.5,31242,2512,73,1287,0,1638,974,17793
1528,11563,21919,92.8,43.8,18101,881,186,677,0,1444,630,8378
1532,11565,8560,85.5,48.2,7199,455,7,390,0,165,344,3250
1536,11566,33331,100.7,43.1,30134,1108,44,1251,0,258,536,11622
1540,11568,4548,88.3,25.4,2937,461,3,817,0,86,244,1176
1544,11569,1117,126.6,55.7,1117,0,0,0,0,0,0,655
1548,11570,27234,94,42.5,21829,2915,0,734,0,1169,587,10741
1552,11572,29243,99,43.1,26399,550,275,779,0,777,463,10556
1556,11575,17180,95.6,34.1,2916,10079,502,152,0,2119,1412,4774
1560,11576,12374,90,47.8,9464,131,13,2176,0,430,160,4734
1564,11577,12513,89.8,43.3,9439,454,30,2130,0,331,129,4540
1568,11579,5214,94.5,48.8,4805,61,0,78,0,188,82,2097
1572,11580,42990,89.1,40.9,14375,14280,20,6217,16,6045,2037,13748
1576,11581,21794,95.2,39.3,11522,4532,9,2979,10,1946,796,7242
1580,11590,47245,93.1,40.1,21766,10499,16,4233,67,9336,1328,15015
1584,11596,10347,93.8,42,8098,164,14,1684,0,167,220,3550
1588,11598,14066,103.7,33.6,12835,654,0,319,0,217,41,4172
1592,11691,68543,86.3,30.8,25352,32175,182,2274,38,6460,2062,21959
1596,11692,22074,89.9,36,4919,13205,180,1167,0,2130,473,7894
1600,11693,12944,92.3,41.1,7931,2828,0,571,0,972,642,5447
1604,11694,21202,104.8,48,17397,1389,217,620,0,1338,241,9401
1608,11697,3674,79.8,50.8,3490,23,0,24,0,137,0,2687
1612,11701,28363,90,38.3,11485,10318,133,191,0,5260,976,9207
1616,11702,14127,100.6,43.2,13400,90,32,231,0,110,264,5630
1620,11703,16119,85.9,42.6,12817,1156,57,683,0,936,470,5612
1624,11704,39981,94.5,40.5,29388,5583,137,1459,42,2547,825,13333
1628,11705,7721,103,41.1,7173,175,40,99,0,13,221,2848
1632,11706,68401,98.8,35.8,38860,11457,822,2073,11,12029,3149,21278
1636,11709,6735,103,49.1,6383,18,19,85,0,99,131,2770
1640,11710,34634,94.5,43.9,30455,692,28,1676,0,964,819,11867
1644,11713,9295,100.8,37.8,6317,1993,0,272,0,184,529,3645
1648,11714,22741,95.6,43.3,19409,133,189,2084,0,539,387,8296
1652,11715,4583,96,44.2,4495,7,0,19,0,20,42,1759
1656,11716,9781,100.6,41.4,9092,253,18,167,0,225,26,3686
1660,11717,63492,94.8,34.1,38558,9456,446,1254,110,11091,2577,14821
1664,11718,3075,99.7,42.9,2902,57,0,9,0,67,40,1101
1668,11719,3447,96.4,46.6,2993,252,13,8,5,36,140,1298
1672,11720,28454,96.2,37.7,24335,1268,23,1571,0,670,587,9468
1676,11721,6288,94,50.7,5915,11,0,312,0,0,50,2511
1680,11722,31878,101.2,36,16831,8059,51,1149,0,4791,997,10296
1684,11724,3175,90.6,37.6,2680,9,0,352,0,36,98,1072
1688,11725,29396,97.7,46.9,26881,497,0,1410,0,143,465,10108
1692,11726,19481,105.1,38.9,10952,2953,314,506,0,3820,936,6294
1696,11727,29736,96.1,40.6,22091,4350,0,1594,85,954,662,12165
1700,11729,27252,95.2,42.1,18341,3540,20,2836,0,1481,1034,9230
1704,11730,13663,104.5,42.4,12601,385,16,146,0,489,26,4838
1708,11731,30436,100.3,45.1,27850,406,0,1408,0,305,467,10821
1712,11732,3751,88.8,49.1,3311,137,0,82,0,54,167,1541
1716,11733,16363,104.5,46.7,13962,240,14,1696,0,189,262,6113
1720,11735,33893,96.6,41.6,27444,1660,20,2818,0,1079,872,12177
1724,11738,17972,106.2,40.9,15815,473,9,861,0,293,521,5753
1732,11740,9693,91.1,44.8,8469,299,0,548,0,98,279,3602
1736,11741,26651,98.5,41.3,24139,983,157,886,35,80,371,9560
1740,11742,12438,95.1,43.6,10718,631,0,685,0,271,133,4566
1744,11743,41878,97.9,47.2,35868,2481,40,1290,0,1278,921,16572
1748,11746,67863,103.8,40.1,48111,4325,140,6415,27,7603,1242,23052
1752,11747,18288,83.7,50.1,16206,472,0,1130,16,112,352,8007
1756,11749,3341,85.4,39.3,2168,331,9,381,0,269,183,1144
1760,11751,14314,96.6,41.8,12994,517,0,216,0,362,225,5369
1764,11752,9656,96.7,43.5,8764,188,1,312,0,151,240,3227
1768,11753,12857,94.7,45,8196,94,0,4036,0,190,341,4604
1772,11754,17946,85.2,45.4,16334,183,7,704,0,456,262,7210
1776,11755,12598,104.2,40.9,11206,211,0,675,0,311,195,4384
1780,11756,43446,95.2,41.5,35287,582,16,3256,0,2955,1350,13832
1784,11757,44368,99.4,41.7,37530,1987,86,887,0,2668,1210,15385
1788,11758,52783,93.6,44.7,48409,2270,94,835,65,720,390,19729
1792,11762,22358,96.1,43.7,21083,71,0,457,0,201,546,7977
1796,11763,28579,89.8,40.8,23867,3372,17,348,0,426,549,9892
1800,11764,12981,104.1,40.9,12487,65,0,126,0,0,303,4518
1808,11766,11720,100.7,45.4,10872,92,0,295,0,99,362,4261
1812,11767,14952,96.3,45.6,13636,259,0,471,0,519,67,5295
1816,11768,21113,92.6,50,20540,236,20,180,0,25,112,8562
1820,11769,8340,88.5,50,7929,143,16,43,0,50,159,3881
1824,11770,56,180,54.5,56,0,0,0,0,0,0,1157
1828,11771,9150,86.7,47,8383,156,0,403,0,126,82,4187
1832,11772,45991,97.9,39.9,40826,2183,99,1187,0,1072,624,18690
1836,11776,24950,85.8,41,21881,720,0,743,0,1355,251,8382
1840,11777,9007,99.1,46.1,7849,192,3,692,0,99,172,3658
1844,11778,12081,100.3,37.9,11241,123,0,86,0,494,137,4761
1848,11779,37837,98.7,39.6,31836,1409,168,2351,65,664,1344,13104
1852,11780,16099,99.2,46.1,14647,331,0,746,0,154,221,6080
1856,11782,14965,95.9,44.4,14170,138,0,359,0,28,270,6693
1860,11783,21280,98.4,43.4,20338,101,39,439,0,92,271,7205
1864,11784,25337,97.3,37.6,20851,1403,16,1489,0,939,639,8394
1868,11786,6359,104,40,5663,232,0,279,0,55,130,1959
1872,11787,34376,98.6,45.5,32183,223,6,1255,0,314,395,12572
1876,11788,16583,105.2,42.5,14077,765,14,1238,0,297,192,6001
1880,11789,8301,86.8,43.9,7654,61,231,117,0,152,86,3044
1884,11790,17304,114.2,26.5,12212,900,6,3537,10,180,459,4861
1888,11791,26135,101.5,42.7,17467,197,74,7511,0,421,465,8624
1892,11792,7853,100.1,41.2,7607,126,0,17,0,68,35,3175
1896,11793,30643,94.2,42.4,29250,149,22,650,0,154,418,10522
1900,11794,3024,111.5,19.9,971,342,0,1403,0,36,272,0
1904,11795,24775,92.4,43.9,23890,127,12,405,0,81,260,8070
1908,11796,4160,88.6,44.4,3932,36,0,84,0,54,54,1299
1912,11797,8962,90.8,53,7230,201,0,1424,0,43,64,3322
1916,11798,14864,88.1,33.1,3143,9210,84,205,0,1469,753,4191
1920,11801,40288,102.7,43.8,25089,699,116,11057,8,1630,1689,13560
1924,11803,28520,96.9,44.2,23356,181,16,4384,0,275,308,10201
1928,11804,4671,101.3,44.5,4113,16,0,430,0,0,112,1727
1932,11901,28387,105.8,41.9,20256,4887,25,484,0,1771,964,11897
1936,11930,882,96,57,856,0,0,0,0,7,19,2458
1940,11931,39,30,3,39,0,0,0,0,0,0,108
1944,11932,1120,101.1,49.9,791,250,0,64,0,1,14,2224
1948,11933,7342,93.4,48.7,6378,436,0,221,0,6,301,3849
1952,11934,7584,88.5,42.1,6830,274,0,106,0,260,114,2727
1956,11935,3160,91.5,52,3121,20,0,0,0,17,2,2304
1960,11937,16137,93.1,49.9,14939,483,21,464,0,134,96,13555
1964,11939,999,82.3,60.8,956,16,0,0,0,0,27,1153
1968,11940,5532,111.1,44.5,5159,108,0,105,0,28,132,2182
1972,11941,1797,83.7,45.4,1719,32,0,0,0,0,46,770
1976,11942,5174,79.5,44.9,5014,22,0,122,0,6,10,3133
1980,11944,4287,72.7,56.8,3660,381,0,26,0,153,67,2979
1984,11946,15453,99.3,44.3,13609,170,48,38,7,1306,275,8803
1996,11949,13760,113.7,44.4,12143,686,0,172,0,317,442,5335
2000,11950,16444,92.3,32.9,13263,1674,510,160,0,441,396,4973
2004,11951,13015,90.7,39.7,11729,568,57,184,0,114,363,5177
2008,11952,5010,98.3,55.4,4989,13,0,0,0,4,4,3039
2012,11953,13645,86,43.1,10572,2410,6,261,0,200,196,5732
2016,11954,3685,128.9,56.8,3434,7,10,10,0,157,67,4664
2020,11955,3748,87.3,51.1,3288,70,24,212,0,1,153,1926
2036,11959,545,98.9,57.9,497,19,0,21,0,0,8,1557
2040,11960,706,99.4,58.4,706,0,0,0,0,0,0,1064
2044,11961,12902,80.1,49.9,11201,940,68,462,0,113,118,6148
2052,11963,7161,97.4,49.3,6433,379,0,192,5,66,86,6033
2056,11964,2413,99.4,40.4,2179,0,0,76,0,158,0,2548
2064,11967,27854,90.1,35.4,23881,2033,63,1090,0,334,453,8801
2068,11968,10517,89.7,52.6,9455,283,5,570,0,57,147,9673
2072,11970,212,84.3,59.6,181,0,0,31,0,0,0,609
2076,11971,6026,99.1,54.6,5777,12,0,154,0,83,0,4350
2080,11972,1096,126.9,44.8,975,95,0,0,0,25,1,675
2084,11973,40,122.2,18.7,21,17,0,2,0,0,0,139
2092,11976,1679,95.7,51.8,1545,7,13,54,0,0,60,2100
2096,11977,2176,98.5,56.8,2054,34,0,39,0,40,9,1722
2100,11978,3086,101.7,48.1,2728,159,37,48,0,3,111,3935
2104,11980,5865,135.5,39.2,5094,376,23,80,0,168,124,2088
2108,12007,9,0,0,9,0,0,0,0,0,0,47
2116,12009,7900,106.2,42.2,7230,214,11,260,0,12,173,3199
2120,12010,28152,93.9,40.9,23001,970,21,184,0,3152,824,13763
2124,12015,3026,90.3,47.5,2707,181,2,112,0,9,15,1590
2132,12018,7226,113.3,51,7073,27,97,13,0,0,16,3459
2136,12019,14456,94.9,46.6,13215,205,0,661,27,51,297,6163
2140,12020,33563,99.2,42.1,31720,397,30,849,0,28,539,14709
2148,12023,2187,99.7,42.4,2138,12,0,20,0,0,17,1030
2152,12024,0,0,0,0,0,0,0,0,0,0,0
2156,12025,5388,91.6,46.9,5167,42,70,62,0,0,47,3210
2160,12027,3887,87.9,45.2,3771,26,0,55,0,0,35,1534
2168,12029,1156,129.4,55.5,1066,27,2,0,0,37,24,790
2176,12032,858,101.9,58,743,0,0,97,0,0,18,1328
2180,12033,7906,95,46.8,7609,40,0,102,11,101,43,3317
2192,12037,4257,98.3,48.1,3885,241,0,33,0,29,69,2326
2196,12040,137,67.1,61,137,0,0,0,0,0,0,68
2208,12043,8129,97.1,35.2,7560,281,30,37,2,70,149,3419
2216,12046,1102,113.2,36.3,1086,0,0,0,0,0,16,458
2220,12047,21355,82.7,37.4,17848,1197,94,678,16,30,1492,10030
2224,12051,6383,237.7,38.6,4942,1372,0,47,0,13,9,2066
2228,12052,1611,96,47,1580,0,0,0,0,0,31,825
2232,12053,4527,103.1,40.3,4430,37,0,15,0,1,44,1648
2236,12054,16940,93.1,43.6,15732,378,0,581,0,113,136,7220
2240,12056,2847,106.2,34.9,2765,4,0,0,0,31,47,1070
2244,12057,1942,89.5,54.4,1895,0,10,26,0,4,7,837
2248,12058,1394,102.3,45.9,1323,37,0,23,0,0,11,737
2252,12059,1682,94.5,49.9,1662,5,0,15,0,0,0,1085
2256,12060,1414,95.3,55.1,1406,0,3,2,0,0,3,942
2260,12061,9656,87.2,43.6,8869,150,21,501,0,20,95,4063
2264,12062,1546,136.8,38.3,1526,0,0,10,0,6,4,751
2276,12065,42701,99.1,40.9,36265,1756,127,2562,14,640,1337,18646
2280,12066,1623,101.4,51,1598,12,0,9,0,0,4,908
2284,12067,1519,85.7,48.5,1510,0,0,0,0,0,9,646
2288,12068,3238,108.4,42.9,3070,3,0,0,0,47,118,1574
2292,12069,203,101,36.7,203,0,0,0,0,0,0,103
2296,12070,1669,99.4,45.8,1633,13,0,23,0,0,0,754
2304,12072,3097,104.2,34,2917,55,0,9,0,6,110,1141
2308,12074,3046,104.2,45,2868,17,0,61,0,3,97,1583
2312,12075,2959,103.6,51.1,2637,117,0,0,0,159,46,1539
2316,12076,1308,117.3,54.8,1234,6,0,10,0,36,22,1492
2320,12077,6745,87,44.4,5910,220,5,402,0,0,208,2853
2324,12078,23419,102.7,44.2,21994,361,209,185,7,262,401,12541
2328,12083,3939,105.8,46.4,3795,17,0,15,0,86,26,1802
2332,12084,5005,100.6,34.8,3310,210,0,1306,0,150,29,2284
2340,12086,1453,95.6,56.9,1443,0,0,0,0,7,3,922
2344,12087,1109,89.9,39.3,1109,0,0,0,0,0,0,406
2348,12089,64,82.9,62.1,64,0,0,0,0,0,0,35
2352,12090,6350,94.7,40.7,6149,0,8,8,0,135,50,3008
2360,12093,1545,111.6,48.5,1531,2,0,1,0,0,11,1284
2364,12094,2398,110.2,36.5,2368,30,0,0,0,0,0,973
2368,12095,12046,101.2,41.3,10972,605,0,39,0,174,256,5306
2372,12106,2333,97.9,52.2,2322,0,0,6,0,3,2,1224
2376,12108,393,267.3,65.5,388,2,0,0,0,3,0,1011
2380,12110,21665,100.5,37.7,17743,1145,85,1816,49,251,576,7625
2388,12116,1712,82.7,52.6,1698,0,0,0,0,0,14,1125
2392,12117,3133,87.8,48,3113,4,0,0,0,2,14,2099
2396,12118,15508,95.2,41.4,14328,164,75,594,0,25,322,7329
2404,12121,1972,100.6,48.1,1913,33,0,5,0,7,14,684
2408,12122,4170,103.6,51,3991,24,0,50,0,16,89,2858
2412,12123,5398,118.1,44,4995,131,1,0,0,27,244,2445
2420,12125,1483,91.6,45,1452,0,0,13,0,18,0,844
2436,12134,4059,84.2,49.2,3977,11,0,9,2,11,49,2949
2444,12137,1764,108.5,48.3,1694,20,0,50,0,0,0,830
2448,12138,3218,116.8,46,3162,16,0,7,0,3,30,1851
2456,12140,1690,92.5,47.7,1634,17,7,0,0,2,30,696
2460,12143,4728,103.3,41.5,4528,160,0,0,0,0,40,2215
2464,12144,20205,99.6,40.6,17371,839,46,783,0,80,1086,9942
2472,12148,4333,97.9,47.2,3948,89,0,198,0,0,98,1865
2476,12149,2423,97,45.9,2295,56,12,28,7,0,25,1316
2492,12154,2901,99.9,46.2,2799,19,1,4,0,20,58,1305
2496,12155,2119,103.8,45.2,2049,3,0,2,0,6,59,1147
2500,12156,1053,142.1,38.3,1043,0,0,0,0,0,10,384
2504,12157,4417,89.4,47.1,4216,100,0,21,0,37,43,1893
2508,12158,6945,102.9,41.2,6442,159,0,264,0,11,69,2816
2512,12159,7870,86.4,50.8,7006,113,9,535,0,17,190,3647
2520,12161,191,536.7,28.9,191,0,0,0,0,0,0,77
2532,12166,1148,99.3,45.5,1130,0,1,5,0,3,9,594
2536,12167,2678,96.2,50.7,2582,30,0,36,0,18,12,1606
2540,12168,2033,121.5,48,2033,0,0,0,0,0,0,1109
2548,12170,4958,89.8,45.6,4847,16,7,3,0,2,83,2211
2556,12173,1999,109.1,42.3,1902,23,0,0,0,16,58,855
2568,12176,451,80.4,48.5,433,0,0,10,0,0,8,180
2576,12180,53464,94.8,33.8,39578,7221,27,2578,0,903,3157,24330
2580,12182,14432,88.3,37,11683,1673,20,106,0,337,613,6999
2584,12183,2592,107.2,43.2,2343,134,0,40,0,0,75,1441
2588,12184,6840,96.3,43.6,6166,163,17,30,0,303,161,3138
2592,12185,2006,83.9,36.2,1989,0,0,5,2,3,7,847
2596,12186,6193,103.1,47.1,5982,32,0,79,0,8,92,2746
2604,12188,11415,95.4,40,10802,69,55,192,0,181,116,5279
2608,12189,17290,94.3,40.4,12929,1261,22,1550,0,381,1147,9226
2616,12192,1867,113.4,55.3,1815,3,0,0,0,27,22,795
2620,12193,1855,114.5,53.9,1845,0,0,10,0,0,0,1059
2632,12196,3522,106.4,40.5,3464,53,0,0,0,0,5,1370
2636,12197,1880,93.8,49.6,1742,22,0,0,0,14,102,1283
2640,12198,7871,104,45.9,7511,19,0,130,0,36,175,3226
2644,12202,8342,92.5,35.2,2355,4936,16,331,0,261,443,5368
2648,12203,30010,91.1,34.1,23622,2800,21,2074,11,531,951,14385
2652,12204,8318,104.3,34.6,3280,2741,52,945,50,134,1116,4164
2656,12205,26941,96.3,41.2,21810,1570,43,2383,0,157,978,11844
2660,12206,16480,80.6,30.3,5403,7569,118,1233,0,343,1814,7840
2664,12207,2202,94.4,34.8,724,1266,0,48,0,35,129,1347
2668,12208,21666,90.2,33.8,15683,2211,8,2054,0,844,866,10895
2672,12209,9978,87.3,34.9,5353,2762,0,1018,0,280,565,4833
2676,12210,9583,100.3,31,4289,4317,0,271,0,51,655,6670
2680,12211,10990,97.6,50,9199,303,10,1031,0,0,447,4456
2684,12222,6198,87.6,19.6,3934,1235,0,458,3,384,184,62
2688,12302,27377,89.2,41.9,26041,403,14,226,10,52,631,12330
2692,12303,28488,95,39.8,20458,3112,10,1649,38,1788,1433,12888
2696,12304,22230,96.6,40.1,13288,3906,155,1409,0,1753,1719,9980
2700,12305,5519,133.5,33.8,3811,1154,61,138,0,59,296,3239
2704,12306,26799,94.5,42.2,22954,1752,17,618,0,556,902,11553
2708,12307,7031,96.8,29.7,2239,2717,7,321,0,964,783,3686
2712,12308,14699,87.8,33.8,9343,2567,69,966,36,746,972,7041
2716,12309,30007,94.9,44.3,25475,952,23,2582,0,151,824,12121
2720,12401,35192,97,40.4,26688,4125,96,909,7,1152,2215,16101
2724,12404,3334,90.8,45.1,2938,70,8,66,0,82,170,2199
2756,12413,2813,78.2,43.3,2471,33,0,22,0,16,271,1563
2760,12414,9979,107.8,46.6,8531,985,190,116,3,75,79,5510
2792,12423,1050,100.4,45.1,968,52,0,14,0,16,0,641
2804,12428,6885,104.8,40.1,4729,468,10,254,0,592,832,3359
2812,12430,1119,95.3,52.2,955,0,3,35,0,91,35,1103
2816,12431,1120,83.3,43.8,1072,0,48,0,0,0,0,725
2836,12436,94,0,0,94,0,0,0,0,0,0,503
2840,12438,31,121.4,35.5,8,0,0,14,0,0,9,118
2848,12440,1997,94.8,52.6,1774,155,5,31,0,1,31,1089
2856,12442,675,71.3,59,675,0,0,0,0,0,0,1510
2860,12443,3317,89.9,52.1,3116,105,9,14,0,8,65,1704
2868,12446,5063,92.9,44.3,4247,142,11,4,0,240,419,2791
2876,12449,3436,93.6,48.4,2537,289,13,48,0,316,233,1316
2884,12451,1531,112.3,40.5,1415,5,0,0,0,111,0,602
2896,12454,366,88.7,35.1,366,0,0,0,0,0,0,318
2900,12455,1755,72.1,56.7,1638,13,0,21,0,23,60,1881
2904,12456,1123,130.1,33.4,1076,47,0,0,0,0,0,367
2908,12457,1070,91.1,51.4,983,9,0,13,0,0,65,599
2912,12458,2778,175.3,48.2,1821,408,23,35,0,207,284,1261
2924,12461,1654,93.7,56.1,1319,2,0,97,95,0,141,1025
2928,12463,1895,80.8,37.7,1438,17,40,30,0,50,320,871
2940,12466,2241,105,51.2,2049,2,0,52,0,103,35,1062
2960,12472,1464,113.7,47.9,1361,42,0,24,0,0,37,793
2968,12474,1035,106.2,52.7,997,38,0,0,0,0,0,893
2976,12477,18060,90.1,47.5,16947,171,44,79,0,281,538,9133
2984,12481,1650,112.6,42.9,1566,0,24,21,0,0,39,691
2996,12484,2612,104.1,52,2202,0,0,225,0,41,144,1378
3000,12485,1256,116.6,49.7,1239,0,0,17,0,0,0,1161
3004,12486,1623,101.4,40.5,1477,100,0,23,0,0,23,694
3008,12487,3370,91.8,41.2,3046,63,0,7,0,143,111,1394
3012,12489,1149,560.3,42.8,519,379,19,6,0,120,106,235
3016,12490,27,107.7,0,27,0,0,0,0,0,0,14
3020,12491,1478,90.5,48.1,1364,6,0,0,0,3,105,718
3028,12493,128,54.2,53.1,106,6,0,0,0,8,8,229
3040,12496,1456,98.1,53.9,1412,0,0,6,0,6,32,2270
3044,12498,5045,99.5,55,4509,218,0,152,0,34,132,3355
3048,12501,2645,86.8,39.2,2168,77,0,14,0,207,179,1103
3052,12502,1138,113.5,51.3,1047,51,0,19,0,0,21,779
3060,12504,1494,81.8,19.7,1115,74,15,183,0,24,83,56
3068,12508,19825,102.6,40.3,13803,3634,136,394,13,888,957,8232
3080,12514,2807,106.5,53.6,2525,66,0,113,0,51,52,1440
3084,12515,1453,128.1,50,1354,63,0,0,0,36,0,561
3088,12516,1747,71.6,52.8,1654,0,0,38,0,0,55,1113
3096,12518,5732,77.5,44.3,5134,147,0,123,0,154,174,2679
3100,12520,2932,75.6,41.9,2789,27,0,63,19,34,0,1075
3104,12521,1349,115.8,56,1316,1,0,8,0,6,18,1322
3108,12522,4659,94.1,48.9,4293,22,0,57,0,282,5,2164
3112,12523,1626,111.4,47.1,1529,21,0,44,0,0,32,942
3116,12524,15934,111.8,43.4,12242,1561,28,1107,12,493,491,6348
3120,12525,2956,98.1,39.3,2809,0,0,0,0,85,62,1371
3124,12526,3622,102.6,51.9,3430,44,0,34,0,20,94,1973
3128,12527,0,0,0,0,0,0,0,0,0,0,0
3132,12528,12797,98.2,47.9,11316,623,2,199,0,367,290,5836
3136,12529,2453,105.8,52.4,2429,0,3,0,0,0,21,1807
3140,12530,61,190.5,61.7,61,0,0,0,0,0,0,40
3144,12531,3171,101.2,48.2,2939,22,0,38,0,0,172,1333
3148,12533,25426,99.7,43,21517,1321,119,1122,0,416,931,9784
3152,12534,18007,97.7,46,14042,1966,4,796,0,373,826,9229
3156,12538,14081,93.1,38.9,11476,967,31,694,8,577,328,5437
3160,12540,8248,109.8,43.7,7371,216,5,323,0,140,193,2950
3164,12542,5622,93.4,46.8,5185,211,0,93,0,33,100,2531
3168,12543,3535,82.8,37.8,2733,608,16,55,0,32,91,1536
